id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,jumlah_umkm,satuan,tahun
1,32,JAWA BARAT,3272,KOTA SUKABUMI,639368,UMKM,2021
2,32,JAWA BARAT,3272,KOTA SUKABUMI,31926,UMKM,2022
3,32,JAWA BARAT,3272,KOTA SUKABUMI,31926,UMKM,2023
4,32,JAWA BARAT,3272,KOTA SUKABUMI,31926,UMKM,2024
