id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_klbi,jenis_usaha,jumlah_umkm,satuan,tahun
38,32,JAWA BARAT,3278,KOTA TASIKMALAYA,41,KONSTRUKSI GEDUNG,0.0,USAHA,2023
39,32,JAWA BARAT,3278,KOTA TASIKMALAYA,42,KONSTRUKSI BANGUNAN SIPIL,0.0,USAHA,2023
40,32,JAWA BARAT,3278,KOTA TASIKMALAYA,43,KONSTUKSI KHUSUS,0.0,USAHA,2023
41,32,JAWA BARAT,3278,KOTA TASIKMALAYA,45,PERDAGANGAN BESAR DAN ECERAN KENDARAAN BERMOTOR,346.0,USAHA,2023
42,32,JAWA BARAT,3278,KOTA TASIKMALAYA,46,PERDAGANGAN BESAR (BUKAN MOBIL/MOTOR),484.0,USAHA,2023
43,32,JAWA BARAT,3278,KOTA TASIKMALAYA,47,PERDAGANGAN ECERAN (BUKAN MOBIL/MOTOR),5651.0,USAHA,2023
44,32,JAWA BARAT,3278,KOTA TASIKMALAYA,49,ANGKUTAN DARAT DAN REL,0.0,USAHA,2023
45,32,JAWA BARAT,3278,KOTA TASIKMALAYA,50,ANGKUTAN PERAIRAN,0.0,USAHA,2023
46,32,JAWA BARAT,3278,KOTA TASIKMALAYA,51,ANGKUTAN UDARA,0.0,USAHA,2023
47,32,JAWA BARAT,3278,KOTA TASIKMALAYA,52,PERGUDANGAN DAN JASA PENUNJANG ANGKUTAN,33.0,USAHA,2023
48,32,JAWA BARAT,3278,KOTA TASIKMALAYA,53,AKTIVITAS POS DAN KURIR,30.0,USAHA,2023
49,32,JAWA BARAT,3278,KOTA TASIKMALAYA,55,PENYEDIAAN AKOMODASI,0.0,USAHA,2023
50,32,JAWA BARAT,3278,KOTA TASIKMALAYA,56,PENYEDIAAN MAKANAN DAN MINUMAN,0.0,USAHA,2023
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,58,AKTIVITAS PENERBITAN,15.0,USAHA,2023
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,59,"AKTIVITAS PRODUKSI GAMBAR BERGERAK, VIDEO DAN PROGRAM TELEVISI, PEREKAMAN SUARA DAN PENERBITAN MUSIK",0.0,USAHA,2023
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,60,AKTIVITAS PENYIARAN DAN PEMROGRAMAN,2.0,USAHA,2023
54,32,JAWA BARAT,3278,KOTA TASIKMALAYA,61,TELEKOMUNIKASI,133.0,USAHA,2023
55,32,JAWA BARAT,3278,KOTA TASIKMALAYA,62,AKTIVITAS PEMROGRAMAN DAN KONSULTASI KOMPUTER,58.0,USAHA,2023
56,32,JAWA BARAT,3278,KOTA TASIKMALAYA,63,AKTIVITAS LAYANAN INFORMASI LAINNYA,55.0,USAHA,2023
57,32,JAWA BARAT,3278,KOTA TASIKMALAYA,64,"AKTIVITAS JASA KEUANGAN, BUKAN ASURANSI DAN DANA PENSIUN",0.0,USAHA,2023
58,32,JAWA BARAT,3278,KOTA TASIKMALAYA,65,"ASURANSI, PENJAMINAN, REASURANSI DAN DANA PENSIUN, BUKAN JAMINAN SOSIAL WAJIB",0.0,USAHA,2023
59,32,JAWA BARAT,3278,KOTA TASIKMALAYA,66,AKTIVITAS PENUNJANG JASA KEUANGAN DAN ASURANSI,66.0,USAHA,2023
60,32,JAWA BARAT,3278,KOTA TASIKMALAYA,68,REAL ESTAT,11.0,USAHA,2023
61,32,JAWA BARAT,3278,KOTA TASIKMALAYA,70,AKTIVITAS KANTOR PUSAT DAN KONSULTASI MANAJEMEN,2.0,USAHA,2023
62,32,JAWA BARAT,3278,KOTA TASIKMALAYA,71,JASA ARSITEKTUR DAN TEKNIK SIPIL,6.0,USAHA,2023
63,32,JAWA BARAT,3278,KOTA TASIKMALAYA,72,PENELITIAN DAN PENGEMBANGAN ILMU PENGETAHUAN,0.0,USAHA,2023
64,32,JAWA BARAT,3278,KOTA TASIKMALAYA,73,PERIKLANAN DAN RISET PASAR,20.0,USAHA,2023
65,32,JAWA BARAT,3278,KOTA TASIKMALAYA,74,AKTIVITAS PROFESIONAL LAINNYA,27.0,USAHA,2023
66,32,JAWA BARAT,3278,KOTA TASIKMALAYA,75,AKTIVITAS KESEHATAN HEWAN,0.0,USAHA,2023
67,32,JAWA BARAT,3278,KOTA TASIKMALAYA,77,PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI,65.0,USAHA,2023
68,32,JAWA BARAT,3278,KOTA TASIKMALAYA,78,AKTIVITAS KETENAGAKERJAAN,0.0,USAHA,2023
69,32,JAWA BARAT,3278,KOTA TASIKMALAYA,79,AGEN PERJALANAN DAN PENUNJANG WISATA LAINNYA,0.0,USAHA,2023
70,32,JAWA BARAT,3278,KOTA TASIKMALAYA,80,AKTIVITAS KEAMANAN DAN PENYELIDIKAN,0.0,USAHA,2023
71,32,JAWA BARAT,3278,KOTA TASIKMALAYA,81,JASA KEBERSIHAN DAN PERTAMANAN,16.0,USAHA,2023
72,32,JAWA BARAT,3278,KOTA TASIKMALAYA,82,AKTIVITAS PENYELENGGARAAN KANTOR DAN CALL CENTER,32.0,USAHA,2023
73,32,JAWA BARAT,3278,KOTA TASIKMALAYA,84,"ADMINISTRASI PEMERINTAH, PETAHANAN DAN JAMINAN SOSIAL WAJIB",0.0,USAHA,2023
74,32,JAWA BARAT,3278,KOTA TASIKMALAYA,85,PENDIDIKAN,1.0,USAHA,2023
